Date,Conference,Home_Team,Home_Team_Link,Home_Score,Away_Team,Away_Team_Link,Away_Score,OT,Game_Notes,Day
1975-02-14,Non-Conference,Army,/reports/team/Army/6,16,Royal Military,,1,,,Friday
1975-02-14,WCHA,Wisconsin,/reports/team/Wisconsin/58,1,Michigan State,/reports/team/Michigan-State/32,3,,,Friday
1975-02-14,WCHA,North Dakota,/reports/team/North-Dakota/40,1,Michigan,/reports/team/Michigan/31,7,,,Friday
1975-02-14,WCHA,Colorado College,/reports/team/Colorado-College/16,7,Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,6,ot,,Friday
1975-02-14,WCHA,Minnesota,/reports/team/Minnesota/34,8,Denver,/reports/team/Denver/20,2,,,Friday
1975-02-22,ECAC,Yale,/reports/team/Yale/59,2,Harvard,/reports/team/Harvard/22,3,,,Saturday
1975-02-22,ECAC,Brown,/reports/team/Brown/12,8,Dartmouth,/reports/team/Dartmouth/19,5,,,Saturday
1975-02-22,ECAC,Clarkson,/reports/team/Clarkson/14,5,Boston University,/reports/team/Boston-University/10,11,,,Saturday
1975-02-22,ECAC,Cornell,/reports/team/Cornell/18,9,Princeton,/reports/team/Princeton/45,5,,,Saturday
1975-02-22,Non-Conference,Army,/reports/team/Army/6,9,Bridgewater Stat,,4,,,Saturday
1975-02-22,WCHA,Denver,/reports/team/Denver/20,6,Michigan,/reports/team/Michigan/31,5,,,Saturday
1975-02-22,WCHA,Michigan Tech,/reports/team/Michigan-Tech/33,4,Wisconsin,/reports/team/Wisconsin/58,2,,,Saturday
1975-02-22,WCHA,Michigan State,/reports/team/Michigan-State/32,2,Minnesota,/reports/team/Minnesota/34,4,,,Saturday
1975-02-22,WCHA,North Dakota,/reports/team/North-Dakota/40,2,Colorado College,/reports/team/Colorado-College/16,9,,,Saturday
1975-02-26,ECAC,Harvard,/reports/team/Harvard/22,9,Dartmouth,/reports/team/Dartmouth/19,3,,,Wednesday
1975-02-26,ECAC,Boston University,/reports/team/Boston-University/10,6,Cornell,/reports/team/Cornell/18,4,,,Wednesday
1975-02-26,ECAC,Yale,/reports/team/Yale/59,3,Brown,/reports/team/Brown/12,4,,,Wednesday
1975-02-26,Non-Conference,Bowdoin,,1,Boston College,/reports/team/Boston-College/9,4,,,Wednesday
1974-10-26,WCHA,Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,2,Minnesota,/reports/team/Minnesota/34,3,ot,"Hall of Fame Game – Eveleth Hippodrome, Eveleth, Minn.",Saturday
1974-10-26,WCHA,Notre Dame,/reports/team/Notre-Dame/43,5,Wisconsin,/reports/team/Wisconsin/58,3,,,Saturday
1974-10-26,Non-Conference,Ohio State,/reports/team/Ohio-State/44,2,Michigan,/reports/team/Michigan/31,4,,,Saturday
1974-10-26,Non-Conference,St. Louis,,4,Colorado College,/reports/team/Colorado-College/16,5,,,Saturday
1974-10-26,Non-Conf v. Canadian,Calgary,,4,North Dakota,/reports/team/North-Dakota/40,9,,,Saturday
1974-11-15,WCHA,Colorado College,/reports/team/Colorado-College/16,7,Michigan Tech,/reports/team/Michigan-Tech/33,8,,,Friday
1974-11-15,WCHA,North Dakota,/reports/team/North-Dakota/40,4,Michigan State,/reports/team/Michigan-State/32,7,,,Friday
1974-11-15,WCHA,Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,2,Wisconsin,/reports/team/Wisconsin/58,4,,,Friday
1974-11-15,WCHA,Michigan,/reports/team/Michigan/31,10,Minnesota,/reports/team/Minnesota/34,1,,,Friday
1974-11-16,WCHA,Colorado College,/reports/team/Colorado-College/16,4,Michigan Tech,/reports/team/Michigan-Tech/33,2,,,Saturday
1974-11-16,WCHA,North Dakota,/reports/team/North-Dakota/40,2,Michigan State,/reports/team/Michigan-State/32,6,,,Saturday
1974-11-16,WCHA,Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,5,Wisconsin,/reports/team/Wisconsin/58,7,,,Saturday
1974-11-16,WCHA,Michigan,/reports/team/Michigan/31,5,Minnesota,/reports/team/Minnesota/34,7,,,Saturday
1974-12-27,WCHA,Colorado College,/reports/team/Colorado-College/16,7,North Dakota,/reports/team/North-Dakota/40,8,ot,,Friday
1974-12-27,WCHA,Minnesota,/reports/team/Minnesota/34,1,Wisconsin,/reports/team/Wisconsin/58,2,,,Friday
1974-12-27,"St. Louis Tournament (at St. Louis Arena, St. Louis, Mo.)",Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,6,Boston University,/reports/team/Boston-University/10,7,ot,,Friday
1974-12-27,"Great Lakes Invitational (at Detroit Olympia, Detroit)",Michigan,/reports/team/Michigan/31,3,Harvard,/reports/team/Harvard/22,2,,,Friday
1974-12-27,"Great Lakes Invitational (at Detroit Olympia, Detroit)",Michigan Tech,/reports/team/Michigan-Tech/33,7,Yale,/reports/team/Yale/59,3,,,Friday
1974-12-27,"Syracuse Invitational (at Onondaga County War Memorial, Syracuse, N.Y.)",Colgate,/reports/team/Colgate/15,4,Cornell,/reports/team/Cornell/18,7,,,Friday
1974-12-27,Non-Conference,Boston College,/reports/team/Boston-College/9,5,Denver,/reports/team/Denver/20,2,,,Friday
1975-02-28,WCHA,Minnesota,/reports/team/Minnesota/34,0,Michigan Tech,/reports/team/Michigan-Tech/33,7,,,Friday
1975-02-28,WCHA,Wisconsin,/reports/team/Wisconsin/58,3,Notre Dame,/reports/team/Notre-Dame/43,3,ot,,Friday
1975-02-28,WCHA,Michigan State,/reports/team/Michigan-State/32,8,Michigan,/reports/team/Michigan/31,11,,,Friday
1975-02-28,WCHA,North Dakota,/reports/team/North-Dakota/40,6,Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,6,ot,,Friday
1975-02-28,WCHA,Colorado College,/reports/team/Colorado-College/16,4,Denver,/reports/team/Denver/20,5,,,Friday
1975-02-28,ECAC,Pennsylvania,,1,Cornell,/reports/team/Cornell/18,6,,,Friday
1975-03-01,WCHA,Minnesota,/reports/team/Minnesota/34,4,Michigan Tech,/reports/team/Michigan-Tech/33,5,,,Saturday
1975-03-01,WCHA,Wisconsin,/reports/team/Wisconsin/58,9,Notre Dame,/reports/team/Notre-Dame/43,2,,,Saturday
1975-03-01,WCHA,Michigan,/reports/team/Michigan/31,7,Michigan State,/reports/team/Michigan-State/32,5,,,Saturday
1975-03-01,WCHA,North Dakota,/reports/team/North-Dakota/40,5,Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,7,,,Saturday
1975-03-01,WCHA,Colorado College,/reports/team/Colorado-College/16,8,Denver,/reports/team/Denver/20,4,,,Saturday
1975-03-01,Non-Conference,Army,/reports/team/Army/6,4,Bowdoin,,8,,,Saturday
1975-03-01,ECAC,Dartmouth,/reports/team/Dartmouth/19,2,Brown,/reports/team/Brown/12,6,,,Saturday
1975-03-01,ECAC,Northeastern,/reports/team/Northeastern/41,2,Boston University,/reports/team/Boston-University/10,11,,,Saturday
1975-03-01,ECAC,Harvard,/reports/team/Harvard/22,7,Yale,/reports/team/Yale/59,2,,,Saturday
1975-03-01,ECAC,Boston College,/reports/team/Boston-College/9,4,Princeton,/reports/team/Princeton/45,3,,,Saturday
1975-03-04,"WCHA Tournament (at MacInnes Student Ice Arena, Houghton, Mich.)",Notre Dame,/reports/team/Notre-Dame/43,0,Michigan Tech,/reports/team/Michigan-Tech/33,2,,,Tuesday
1975-03-04,"WCHA Tournament (at MacInnes Student Ice Arena, Houghton, Mich.)",Michigan State,/reports/team/Michigan-State/32,4,Wisconsin,/reports/team/Wisconsin/58,5,,,Tuesday
1975-03-04,"WCHA Tournament (at MacInnes Student Ice Arena, Houghton, Mich.)",Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,0,Minnesota,/reports/team/Minnesota/34,6,,,Tuesday
1975-03-04,"WCHA Tournament (at MacInnes Student Ice Arena, Houghton, Mich.)",Michigan,/reports/team/Michigan/31,4,Colorado College,/reports/team/Colorado-College/16,3,,,Tuesday
1975-03-04,ECAC Tournament,New Hampshire,/reports/team/New-Hampshire/38,2,Cornell,/reports/team/Cornell/18,4,,ECAC Quarterfinal,Tuesday
1975-03-04,ECAC Tournament,Providence,/reports/team/Providence/46,5,Vermont,/reports/team/Vermont/55,7,,ECAC Quarterfinal,Tuesday
1975-03-04,ECAC Tournament,Brown,/reports/team/Brown/12,4,Boston University,/reports/team/Boston-University/10,5,ot,ECAC Quarterfinal,Tuesday
1975-03-04,ECAC Tournament,Clarkson,/reports/team/Clarkson/14,5,Harvard,/reports/team/Harvard/22,0,,ECAC Quarterfinal,Tuesday
1975-03-05,"WCHA Tournament (at MacInnes Student Ice Arena, Houghton, Mich.)",Notre Dame,/reports/team/Notre-Dame/43,3,Michigan Tech,/reports/team/Michigan-Tech/33,6,,,Wednesday
1975-03-05,"WCHA Tournament (at MacInnes Student Ice Arena, Houghton, Mich.)",Michigan State,/reports/team/Michigan-State/32,7,Wisconsin,/reports/team/Wisconsin/58,4,,,Wednesday
1975-03-05,"WCHA Tournament (at MacInnes Student Ice Arena, Houghton, Mich.)",Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,2,Minnesota,/reports/team/Minnesota/34,4,,,Wednesday
1975-03-05,"WCHA Tournament (at MacInnes Student Ice Arena, Houghton, Mich.)",Michigan,/reports/team/Michigan/31,9,Colorado College,/reports/team/Colorado-College/16,8,,,Wednesday
1975-03-08,"WCHA Tournament (at MacInnes Student Ice Arena, Houghton, Mich.)",Michigan State,/reports/team/Michigan-State/32,4,Michigan Tech,/reports/team/Michigan-Tech/33,6,,,Saturday
1975-03-08,"WCHA Tournament (at MacInnes Student Ice Arena, Houghton, Mich.)",Michigan,/reports/team/Michigan/31,3,Minnesota,/reports/team/Minnesota/34,3,,,Saturday
1975-03-08,"ECAC Tournament (at Boston Garden, Boston)",Harvard,/reports/team/Harvard/22,3,Boston University,/reports/team/Boston-University/10,7,,ECAC Championship,Saturday
1975-03-08,"ECAC Tournament (at Boston Garden, Boston)",Cornell,/reports/team/Cornell/18,3,Vermont,/reports/team/Vermont/55,7,,ECAC Consolation,Saturday
1975-03-08,Non-Conference,Royal Military,,1,Army,/reports/team/Army/6,2,,,Saturday
1975-03-09,"WCHA Tournament (at MacInnes Student Ice Arena, Houghton, Mich.)",Michigan State,/reports/team/Michigan-State/32,4,Michigan Tech,/reports/team/Michigan-Tech/33,9,,,Sunday
1975-03-09,"WCHA Tournament (at MacInnes Student Ice Arena, Houghton, Mich.)",Michigan,/reports/team/Michigan/31,2,Minnesota,/reports/team/Minnesota/34,5,,,Sunday
1975-03-09,"CCHA Tournament (at St. Louis Arena, St. Louis, Mo.)",Lake Superior,/reports/team/Lake-Superior/24,3,St. Louis,,8,,CCHA Finals,Sunday
1975-03-13,"NCAA Tournament (at St. Louis Arena, St. Louis, Mo.)",Michigan Tech,/reports/team/Michigan-Tech/33,9,Boston University,/reports/team/Boston-University/10,5,,,Thursday
1975-03-13,"NCAA Tournament (at St. Louis Arena, St. Louis, Mo.)",Minnesota,/reports/team/Minnesota/34,6,Harvard,/reports/team/Harvard/22,4,,,Thursday
1975-03-15,"NCAA Tournament (at St. Louis Arena, St. Louis, Mo.)",Boston University,/reports/team/Boston-University/10,10,Harvard,/reports/team/Harvard/22,5,,,Saturday
1975-03-15,"NCAA Tournament (at St. Louis Arena, St. Louis, Mo.)",Michigan Tech,/reports/team/Michigan-Tech/33,6,Minnesota,/reports/team/Minnesota/34,1,,,Saturday
1975-03-07,"CCHA Tournament (at St. Louis Arena, St. Louis, Mo.)",Western Michigan,/reports/team/Western-Michigan/57,2,St. Louis,,4,,,Friday
1975-03-07,"CCHA Tournament (at St. Louis Arena, St. Louis, Mo.)",Lake Superior,/reports/team/Lake-Superior/24,6,Bowling Green,/reports/team/Bowling-Green/11,4,,,Friday
1975-03-07,"ECAC Tournament (at Boston Garden, Boston)",Vermont,/reports/team/Vermont/55,3,Boston University,/reports/team/Boston-University/10,7,,ECAC Semifinals,Friday
1975-03-07,"ECAC Tournament (at Boston Garden, Boston)",Cornell,/reports/team/Cornell/18,4,Harvard,/reports/team/Harvard/22,6,,ECAC Semifinals,Friday
1974-12-14,Non-Conference,Minnesota,/reports/team/Minnesota/34,5,St. Louis,,4,ot,,Saturday
1974-12-14,Non-Conference,Army,/reports/team/Army/6,6,Massachusetts,/reports/team/Massachusetts/27,8,,,Saturday
1974-12-14,ECAC,Harvard,/reports/team/Harvard/22,5,Brown,/reports/team/Brown/12,3,,,Saturday
1974-12-14,WCHA,Michigan State,/reports/team/Michigan-State/32,8,Michigan,/reports/team/Michigan/31,3,,,Saturday
1974-12-14,WCHA,Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,3,North Dakota,/reports/team/North-Dakota/40,2,,,Saturday
1974-12-14,"Broadmoor Classic (at Broadmoor World Arena, Colorado Springs, Colo.)",Denver,/reports/team/Denver/20,3,Colorado College,/reports/team/Colorado-College/16,5,,,Saturday
1974-12-21,Non-Conference,Oswego,,5,Army,/reports/team/Army/6,4,ot,,Saturday
1974-12-21,Non-Conference,RPI,/reports/team/RPI/48,3,Wisconsin,/reports/team/Wisconsin/58,7,,,Saturday
1974-12-21,WCHA,Michigan Tech,/reports/team/Michigan-Tech/33,3,Minnesota,/reports/team/Minnesota/34,6,,,Saturday
1974-12-21,"Broadmoor Classic (at Broadmoor World Arena, Colorado Springs, Colo.)",W. Ger. Lanshut,,2,Colorado College,/reports/team/Colorado-College/16,4,,,Saturday
1974-12-22,Non-Conference,Army,/reports/team/Army/6,1,Elmira,,6,,,Sunday
1974-12-22,Non-Conference,Notre Dame,/reports/team/Notre-Dame/43,7,Boston College,/reports/team/Boston-College/9,4,,,Sunday
1974-12-23,Non-Conference,Notre Dame,/reports/team/Notre-Dame/43,2,Harvard,/reports/team/Harvard/22,8,,,Monday
1975-01-12,Non-Conference,Boston University,/reports/team/Boston-University/10,3,St. Louis,,5,,,Sunday
1975-01-16,Non-Conference,Yale,/reports/team/Yale/59,3,Massachusetts,/reports/team/Massachusetts/27,7,,,Thursday
1975-01-22,Non-Conference,Cornell,/reports/team/Cornell/18,3,Toronto,,5,,,Wednesday
1975-01-24,Non-Conference,Army,/reports/team/Army/6,8,Williams,,2,,,Friday
1975-01-24,ECAC,Princeton,/reports/team/Princeton/45,6,Boston University,/reports/team/Boston-University/10,9,,,Friday
1975-01-24,ECAC,St. Lawrence,/reports/team/St-Lawrence/53,5,Boston College,/reports/team/Boston-College/9,1,,,Friday
1975-01-24,WCHA,Minnesota,/reports/team/Minnesota/34,2,Michigan,/reports/team/Michigan/31,5,,,Friday
1975-01-24,WCHA,North Dakota,/reports/team/North-Dakota/40,2,Notre Dame,/reports/team/Notre-Dame/43,1,,,Friday
1975-01-24,WCHA,Colorado College,/reports/team/Colorado-College/16,3,Wisconsin,/reports/team/Wisconsin/58,5,,,Friday
1975-02-15,Non-Conference,Army,/reports/team/Army/6,6,Royal Military,,5,,,Saturday
1975-02-15,ECAC,Yale,/reports/team/Yale/59,7,Boston University,/reports/team/Boston-University/10,11,,,Saturday
1975-02-15,ECAC,Cornell,/reports/team/Cornell/18,5,Brown,/reports/team/Brown/12,2,,,Saturday
1975-02-15,ECAC,Harvard,/reports/team/Harvard/22,10,Princeton,/reports/team/Princeton/45,2,,,Saturday
1975-02-15,WCHA,Wisconsin,/reports/team/Wisconsin/58,7,Michigan State,/reports/team/Michigan-State/32,5,,,Saturday
1975-02-15,WCHA,North Dakota,/reports/team/North-Dakota/40,3,Michigan,/reports/team/Michigan/31,4,,,Saturday
1975-02-15,WCHA,Colorado College,/reports/team/Colorado-College/16,4,Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,3,ot,,Saturday
1975-02-15,WCHA,Minnesota,/reports/team/Minnesota/34,4,Denver,/reports/team/Denver/20,2,,,Saturday
1975-02-21,Non-Conference,Army,/reports/team/Army/6,7,Boston College,/reports/team/Boston-College/9,9,,,Friday
1975-02-21,WCHA,Denver,/reports/team/Denver/20,3,Michigan,/reports/team/Michigan/31,5,,,Friday
1975-02-21,WCHA,Michigan Tech,/reports/team/Michigan-Tech/33,0,Wisconsin,/reports/team/Wisconsin/58,4,,,Friday
1975-02-21,WCHA,Michigan State,/reports/team/Michigan-State/32,3,Minnesota,/reports/team/Minnesota/34,8,,,Friday
1975-02-21,WCHA,North Dakota,/reports/team/North-Dakota/40,3,Colorado College,/reports/team/Colorado-College/16,4,,,Friday
1974-11-27,Exhibition,Yale,/reports/team/Yale/59,4,Bowdoin,,3,,,Wednesday
1974-10-18,Non-Conference,Vermont,/reports/team/Vermont/55,5,Wisconsin,/reports/team/Wisconsin/58,6,,,Friday
1974-10-19,Non-Conference,Vermont,/reports/team/Vermont/55,1,Wisconsin,/reports/team/Wisconsin/58,6,,,Saturday
1974-10-19,Exhibition,North Dakota,/reports/team/North-Dakota/40,2,Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,3,,,Saturday
1974-10-22,Exhibition,Colorado College,/reports/team/Colorado-College/16,5,Denver,/reports/team/Denver/20,4,,,Tuesday
1974-10-25,Non-Conference,Ohio State,/reports/team/Ohio-State/44,1,Michigan,/reports/team/Michigan/31,7,,,Friday
1974-10-25,Non-Conference,St. Louis,,7,Colorado College,/reports/team/Colorado-College/16,5,,,Friday
1974-10-25,WCHA,Minnesota,/reports/team/Minnesota/34,3,Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,4,,,Friday
1974-10-25,WCHA,Notre Dame,/reports/team/Notre-Dame/43,4,Wisconsin,/reports/team/Wisconsin/58,5,,,Friday
1974-10-25,Non-Conf v. Canadian,Calgary,,7,North Dakota,/reports/team/North-Dakota/40,3,,,Friday
1974-11-01,WCHA,Wisconsin,/reports/team/Wisconsin/58,5,Michigan,/reports/team/Michigan/31,2,,,Friday
1974-11-01,WCHA,Minnesota,/reports/team/Minnesota/34,4,Michigan State,/reports/team/Michigan-State/32,3,ot,,Friday
1974-11-01,WCHA,Colorado College,/reports/team/Colorado-College/16,2,Notre Dame,/reports/team/Notre-Dame/43,1,,,Friday
1974-11-01,WCHA,Denver,/reports/team/Denver/20,5,North Dakota,/reports/team/North-Dakota/40,4,,,Friday
1974-11-02,WCHA,Wisconsin,/reports/team/Wisconsin/58,1,Michigan,/reports/team/Michigan/31,8,,,Saturday
1974-11-02,WCHA,Minnesota,/reports/team/Minnesota/34,3,Michigan State,/reports/team/Michigan-State/32,4,,,Saturday
1974-11-02,WCHA,Colorado College,/reports/team/Colorado-College/16,3,Notre Dame,/reports/team/Notre-Dame/43,2,,,Saturday
1974-11-02,WCHA,Denver,/reports/team/Denver/20,2,North Dakota,/reports/team/North-Dakota/40,4,,,Saturday
1974-11-08,WCHA,North Dakota,/reports/team/North-Dakota/40,4,Minnesota,/reports/team/Minnesota/34,5,,,Friday
1974-11-08,WCHA,Michigan,/reports/team/Michigan/31,4,Denver,/reports/team/Denver/20,5,,,Friday
1974-11-08,WCHA,Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,2,Colorado College,/reports/team/Colorado-College/16,6,,,Friday
1974-11-09,WCHA,North Dakota,/reports/team/North-Dakota/40,0,Minnesota,/reports/team/Minnesota/34,5,,,Saturday
1974-11-09,WCHA,Michigan,/reports/team/Michigan/31,3,Denver,/reports/team/Denver/20,5,,,Saturday
1974-11-09,WCHA,Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,4,Colorado College,/reports/team/Colorado-College/16,6,,,Saturday
1974-11-22,WCHA,Michigan Tech,/reports/team/Michigan-Tech/33,5,Michigan,/reports/team/Michigan/31,7,,,Friday
1974-11-22,WCHA,Notre Dame,/reports/team/Notre-Dame/43,5,North Dakota,/reports/team/North-Dakota/40,3,,,Friday
1974-11-22,WCHA,Michigan State,/reports/team/Michigan-State/32,3,Wisconsin,/reports/team/Wisconsin/58,4,,,Friday
1974-11-22,WCHA,Minnesota,/reports/team/Minnesota/34,3,Colorado College,/reports/team/Colorado-College/16,7,,,Friday
1974-11-24,Non-Conference,Boston State,,1,Boston College,/reports/team/Boston-College/9,13,,,Sunday
1974-11-26,Non-Conference,York,,4,Cornell,/reports/team/Cornell/18,8,,,Tuesday
1974-12-01,Non-Conference,St. Louis,,8,Boston College,/reports/team/Boston-College/9,7,,,Sunday
1974-12-02,ECAC,Harvard,/reports/team/Harvard/22,5,Northeastern,/reports/team/Northeastern/41,3,,,Monday
1974-12-04,ECAC,Dartmouth,/reports/team/Dartmouth/19,3,Boston University,/reports/team/Boston-University/10,14,,,Wednesday
1974-12-04,Non-Conference,New Haven,,3,Army,/reports/team/Army/6,12,,,Wednesday
1974-12-08,Non-Conference,North Dakota,/reports/team/North-Dakota/40,0,St. Louis,,5,,,Sunday
1974-12-30,ECAC,Providence,/reports/team/Providence/46,4,Boston College,/reports/team/Boston-College/9,7,,,Monday
1974-12-30,"Broadmoor Classic (at Broadmoor World Arena, Colorado Springs, Colo.)",Czech Nationals,,9,Colorado College,/reports/team/Colorado-College/16,3,,,Monday
1975-01-04,ECAC,Boston University,/reports/team/Boston-University/10,12,RPI,/reports/team/RPI/48,3,,,Saturday
1975-01-04,WCHA,Notre Dame,/reports/team/Notre-Dame/43,7,Michigan,/reports/team/Michigan/31,4,,,Saturday
1975-01-04,WCHA,Michigan State,/reports/team/Michigan-State/32,5,North Dakota,/reports/team/North-Dakota/40,4,,,Saturday
1975-01-04,WCHA,Wisconsin,/reports/team/Wisconsin/58,1,Minnesota,/reports/team/Minnesota/34,3,,,Saturday
1975-01-04,Non-Conference,St. Nick's,,3,Army,/reports/team/Army/6,5,,,Saturday
1975-01-08,ECAC,Boston University,/reports/team/Boston-University/10,8,Northeastern,/reports/team/Northeastern/41,2,,,Wednesday
1975-01-08,Non-Conference,Holy Cross,/reports/team/Holy-Cross/23,5,Army,/reports/team/Army/6,6,ot,,Wednesday
1975-01-17,WCHA,Minnesota,/reports/team/Minnesota/34,6,Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,5,,,Friday
1975-01-17,WCHA,Michigan Tech,/reports/team/Michigan-Tech/33,6,North Dakota,/reports/team/North-Dakota/40,4,,,Friday
1975-01-17,WCHA,Michigan,/reports/team/Michigan/31,1,Wisconsin,/reports/team/Wisconsin/58,3,,,Friday
1975-01-17,WCHA,Notre Dame,/reports/team/Notre-Dame/43,4,Colorado College,/reports/team/Colorado-College/16,8,,,Friday
1975-01-18,ECAC,Yale,/reports/team/Yale/59,3,RPI,/reports/team/RPI/48,8,,,Saturday
1975-01-18,ECAC,Clarkson,/reports/team/Clarkson/14,1,Cornell,/reports/team/Cornell/18,4,,,Saturday
1975-01-18,ECAC,Boston University,/reports/team/Boston-University/10,10,Boston College,/reports/team/Boston-College/9,3,,,Saturday
1975-01-18,Non-Conference,St. Anselm,,4,Army,/reports/team/Army/6,7,,,Saturday
1975-01-18,WCHA,Minnesota,/reports/team/Minnesota/34,7,Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,6,ot,,Saturday
1975-01-18,WCHA,Michigan Tech,/reports/team/Michigan-Tech/33,6,North Dakota,/reports/team/North-Dakota/40,1,,,Saturday
1975-01-18,WCHA,Michigan,/reports/team/Michigan/31,6,Wisconsin,/reports/team/Wisconsin/58,3,,,Saturday
1975-01-18,WCHA,Notre Dame,/reports/team/Notre-Dame/43,10,Colorado College,/reports/team/Colorado-College/16,6,,,Saturday
1975-01-28,ECAC,Brown,/reports/team/Brown/12,3,Boston University,/reports/team/Boston-University/10,6,,,Tuesday
1975-01-28,ECAC,Yale,/reports/team/Yale/59,2,Boston College,/reports/team/Boston-College/9,6,,,Tuesday
1975-01-28,ECAC,Minnesota,/reports/team/Minnesota/34,2,Boston College,/reports/team/Boston-College/9,6,,,Tuesday
1975-01-29,ECAC,Princeton,/reports/team/Princeton/45,3,Cornell,/reports/team/Cornell/18,8,,,Wednesday
1975-01-30,Non-Conference,Connecticut,/reports/team/Connecticut/17,4,Army,/reports/team/Army/6,8,,,Thursday
1975-01-31,ECAC,New Hampshire,/reports/team/New-Hampshire/38,4,Boston College,/reports/team/Boston-College/9,6,,,Friday
1975-01-31,ECAC,Boston University,/reports/team/Boston-University/10,7,Vermont,/reports/team/Vermont/55,6,,,Friday
1975-01-31,WCHA,Wisconsin,/reports/team/Wisconsin/58,8,North Dakota,/reports/team/North-Dakota/40,7,,,Friday
1975-01-31,WCHA,Michigan,/reports/team/Michigan/31,9,Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,2,,,Friday
1975-01-31,WCHA,Colorado College,/reports/team/Colorado-College/16,2,Minnesota,/reports/team/Minnesota/34,6,,,Friday
1975-02-03,"Beanpot (at Boston Garden, Boston)",Boston University,/reports/team/Boston-University/10,5,Boston College,/reports/team/Boston-College/9,3,,,Monday
1975-02-03,"Beanpot (at Boston Garden, Boston)",Harvard,/reports/team/Harvard/22,9,Northeastern,/reports/team/Northeastern/41,0,,,Monday
1975-02-03,Non-Conference,Babson,,2,Army,/reports/team/Army/6,3,,,Monday
1975-02-05,Non-Conference,Wesleyan,,2,Army,/reports/team/Army/6,13,,,Wednesday
1975-02-10,"Beanpot (at Boston Garden, Boston)",Boston University,/reports/team/Boston-University/10,7,Harvard,/reports/team/Harvard/22,2,,Championship,Monday
1975-02-10,"Beanpot (at Boston Garden, Boston)",Northeastern,/reports/team/Northeastern/41,5,Boston College,/reports/team/Boston-College/9,3,,Consolation,Monday
1975-02-11,Non-Conference,Princeton,/reports/team/Princeton/45,5,Army,/reports/team/Army/6,4,ot,,Tuesday
1975-02-12,ECAC,New Hampshire,/reports/team/New-Hampshire/38,11,Yale,/reports/team/Yale/59,3,,,Wednesday
1975-02-12,ECAC,Brown,/reports/team/Brown/12,4,Northeastern,/reports/team/Northeastern/41,6,,,Wednesday
1975-02-17,Non-Conference,New England Coll,,2,Army,/reports/team/Army/6,4,,,Monday
1975-02-18,ECAC,Boston College,/reports/team/Boston-College/9,1,Boston University,/reports/team/Boston-University/10,4,,,Tuesday
1975-02-18,ECAC,Brown,/reports/team/Brown/12,4,Princeton,/reports/team/Princeton/45,3,ot,,Tuesday
1975-02-19,ECAC,Dartmouth,/reports/team/Dartmouth/19,10,Yale,/reports/team/Yale/59,2,,,Wednesday
1975-02-19,ECAC,Harvard,/reports/team/Harvard/22,8,Cornell,/reports/team/Cornell/18,2,,,Wednesday
1975-02-19,Non-Conference,Colorado College,/reports/team/Colorado-College/16,6,Air Force,/reports/team/Air-Force/1,7,ot,,Wednesday
1975-02-25,Non-Conference,Norwich,,4,Army,/reports/team/Army/6,7,,,Tuesday
1975-11-19,CCHA,Bowling Green,/reports/team/Bowling-Green/11,6,Western Michigan,/reports/team/Western-Michigan/57,2,,,Wednesday
1975-11-19,ECAC,Providence,/reports/team/Providence/46,8,Colgate,/reports/team/Colgate/15,6,,,Wednesday
1975-11-19,Non-Conference v. D3,Buffalo State,,4,St. Lawrence,/reports/team/St-Lawrence/53,8,,,Wednesday
1975-12-05,CCHA,Ohio State,/reports/team/Ohio-State/44,1,St. Louis,,4,,,Friday
1975-12-05,WCHA,Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,1,Michigan Tech,/reports/team/Michigan-Tech/33,6,,,Friday
1975-12-05,WCHA,Wisconsin,/reports/team/Wisconsin/58,2,Notre Dame,/reports/team/Notre-Dame/43,5,,,Friday
1975-12-05,WCHA,Michigan State,/reports/team/Michigan-State/32,6,Michigan,/reports/team/Michigan/31,4,,,Friday
1975-12-05,WCHA,North Dakota,/reports/team/North-Dakota/40,2,Minnesota,/reports/team/Minnesota/34,4,,,Friday
1975-12-05,WCHA,Colorado College,/reports/team/Colorado-College/16,2,Denver,/reports/team/Denver/20,1,,,Friday
1975-12-05,Non-Conference v. D3,Western Michigan,/reports/team/Western-Michigan/57,10,Lake Forest,,3,,,Friday
