Team,Player,No,Position,Position,Yr,Ht,Wt,DOB,Hometown,Position,Position,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League
Providence,Graham Gamache,11,Forwards,Forwards,Fr,5-11,182,6/11/2002,"Edmonton, Alb.",Forwards,Forwards,71,,,,Tri-City,USHL
Providence,Matt Hubbarde,21,Forwards,Forwards,Jr,6-1,190,4/15/2000,"Pickering, Ont.",Forwards,Forwards,73,,,,Dartmouth,ECAC
Providence,Cal Kiefiuk,14,Forwards,Forwards,Gr,5-10,185,2/28/2000,"Macomb, Mich.",Forwards,Forwards,70,,,,Massachusetts,HEA
Providence,Clint Levens,22,Forwards,Forwards,Fr,6-2,189,6/19/2003,"Windermere, Fla.",Forwards,Forwards,74,,,,Sioux Falls,USHL
Providence,Hudson Malinoski,9,Forwards,Forwards,Fr,6-1,189,5/19/2004,"Saskatoon, Sask.",Forwards,Forwards,73,2023,TOR,5,Brooks,AJHL
Providence,Craig Needham,13,Forwards,Forwards,Gr,5-10,185,3/31/1999,"Medford, Mass.",Forwards,Forwards,70,,,,Youngstown,USHL
Providence,Nick Poisson,12,Forwards,Forwards,Sr,5-11,190,8/15/2001,"Vancouver, B.C.",Forwards,Forwards,71,,,,Prince George,BCHL
Providence,Bennett Schimek,23,Forwards,Forwards,So,6-0,189,4/15/2003,"Mendota Heights, Minn.",Forwards,Forwards,72,,,,Sioux City,USHL
Providence,Liam Valente,15,Forwards,Forwards,So,6-0,190,5/23/2003,"Märsta, Sweden",Forwards,Forwards,72,,,,Linköping,Sweden
Providence,Chase Yoder,17,Forwards,Forwards,Sr,5-11,185,5/28/2002,"Fairview, Texas",Forwards,Forwards,71,2020,PIT,6,USA U-18 Team,NTDP
Providence,Marcus Brännman,33,Goaltenders,Goaltenders,Fr,6-0,172,4/6/2003,"Bromma, Sweden",Goaltenders,Goaltenders,72,,,,Dubuque,USHL
Providence,John Driscoll,1,Goaltenders,Goaltenders,Jr,6-0,171,4/9/2000,"Huntley, Ill.",Goaltenders,Goaltenders,72,,,,Northeast,NA3HL
Providence,Philip Svedebäck,35,Goaltenders,Goaltenders,So,6-3,208,5/28/2002,"Stockholm, Sweden",Goaltenders,Goaltenders,75,,,,Dubuque,USHL
Stonehill,Charles Banquier,4,Defensemen,Defensemen,Fr,6-2,200,10/6/2002,"Oakville, Ont.",Defensemen,Defensemen,74,,,,Prince George Spruce Kings,
Stonehill,Dominick Campione,55,Defensemen,Defensemen,Fr,5-11,154,11/25/2002,"Kohler, Wis.",Defensemen,Defensemen,71,,,,Brooks Bandits,
Stonehill,Devon Carlstrom,21,Defensemen,Defensemen,Fr,6-3,210,3/5/2002,"Palm Beach Gardens, Fla.",Defensemen,Defensemen,75,,,,Aberdeen Wings,
Stonehill,Ryan Davies,5,Defensemen,Defensemen,So,5-10,179,3/27/2001,"Arlington, Mass.",Defensemen,Defensemen,70,,,,Valley Jr. Warriors,
Stonehill,Cameron Gaudette,7,Defensemen,Defensemen,Jr,6-1,190,6/1/2000,"Braintree, Mass.",Defensemen,Defensemen,73,,,,Northeastern,HEA
Stonehill,Hunter Hastings,11,Defensemen,Defensemen,Fr,6-1,195,2/7/2002,"Scottsdale, Ariz.",Defensemen,Defensemen,73,,,,New Mexico Ice Wolves,
Stonehill,Greg Japchen,2,Defensemen,Defensemen,So,6-4,205,12/17/2001,"Doylestown, Pa.",Defensemen,Defensemen,76,,,,Union,ECAC
Stonehill,Cam Mannion,8,Defensemen,Defensemen,So,6-2,210,10/31/2001,"Dorchester, Mass.",Defensemen,Defensemen,74,,,,Thayer Academy,
Stonehill,Michael Martignetti,13,Defensemen,Defensemen,So,5-11,185,3/13/2002,"Winchester, Mass.",Defensemen,Defensemen,71,,,,Worcester Railers,
Stonehill,Jack Shemligian,16,Defensemen,Defensemen,So,6-0,190,4/22/2003,"Southborough, Mass.",Defensemen,Defensemen,72,,,,East Coast,
Stonehill,Alexander Tertyshny,3,Defensemen,Defensemen,So,6-0,175,1/3/2000,"Philadelphia, Pa.",Defensemen,Defensemen,72,,,,American Int'l,AHA
Stonehill,William Tripp,44,Defensemen,Defensemen,So,5-11,160,5/17/2002,"Lakeville, Mass.",Defensemen,Defensemen,71,,,,Cape Cod,
Stonehill,Matt Allen,17,Forwards,Forwards,Gr,6-2,187,3/14/1999,"Smithfield, R.I.",Forwards,Forwards,74,,,,Union,ECAC
Stonehill,Justin Barker,23,Forwards,Forwards,Fr,6-1,183,11/7/2002,"Calgary, Alb.",Forwards,Forwards,73,,,,Calgary Canucks,
Stonehill,Jake Cady,22,Forwards,Forwards,So,5-9,190,7/4/2001,"Raynham, Mass.",Forwards,Forwards,69,,,,Tabor Academy,
Stonehill,Cameron Collins,27,Forwards,Forwards,So,5-10,175,9/4/2002,"Raynham, Mass.",Forwards,Forwards,70,,,,Cape Cod Whalers,
Stonehill,Nolan FitzPatrick,18,Forwards,Forwards,So,6-0,185,6/25/2000,"Bridgewater, Mass.",Forwards,Forwards,72,,,,Thayer Academy,
Stonehill,Anthony Galante,24,Forwards,Forwards,Fr,5-11,175,4/18/2002,"Morganville, N.J.",Forwards,Forwards,71,,,,Johnstown Tomahawks,
Stonehill,Joseph Grainda,10,Forwards,Forwards,Fr,6-3,210,8/1/2002,"Carmel, Ind.",Forwards,Forwards,75,,,,Chippewa Steel,
Stonehill,Kyle Heath,37,Forwards,Forwards,So,5-8,160,4/28/2002,"West Bridgewater, Mass.",Forwards,Forwards,68,,,,Little Bruins,
Stonehill,Frank Ireland,19,Forwards,Forwards,Jr,5-10,183,2/6/2001,"South Easton, Mass.",Forwards,Forwards,70,,,,Valley Jr. Warriors,
Stonehill,Max Pineo,14,Forwards,Forwards,So,5-10,175,8/7/2000,"North Reading, Mass.",Forwards,Forwards,70,,,,Tilton School,
Stonehill,Carter Rapalje,9,Forwards,Forwards,So,5-10,170,8/10/2001,"Colorado Springs, Colo.",Forwards,Forwards,70,,,,North Iowa,
Stonehill,Conor Ronayne,12,Forwards,Forwards,Fr,5-11,179,7/29/2002,"Plymouth, Mich.",Forwards,Forwards,71,,,,Smiths Falls Bears,
Stonehill,Henri Schreifels,20,Forwards,Forwards,Sr,6-1,195,7/1/2000,"Agoura Hills, Calif.",Forwards,Forwards,73,,,,Rensselaer,ECAC
Stonehill,Dean Schwenninger,25,Forwards,Forwards,So,5-9,170,3/5/2001,"Greifensee Zurich, Switzerland",Forwards,Forwards,69,,,,EV Zug Organization,
Stonehill,Gavin FitzPatrick,35,Goaltenders,Goaltenders,So,6-0,185,1/9/2002,"Bridgewater, Mass.",Goaltenders,Goaltenders,72,,,,South Shore,
Stonehill,Dylan Ghaemi,30,Goaltenders,Goaltenders,So,6-4,200,12/30/2001,"Fairport, N.Y.",Goaltenders,Goaltenders,76,,,,Jarvso IK Hockeytrean,
Stonehill,Dylan Meilun,31,Goaltenders,Goaltenders,So,6-5,220,11/21/2001,"Winnipeg, MB",Goaltenders,Goaltenders,77,,,,Wisconsin-Superior,NCAA DIII
Penn State,Casey Aman,3,Defensemen,Defensemen,Fr,6-0,185,1/15/2003,"Johnstown, Pa.",Defensemen,Defensemen,72,,,,Powell River,BCHL
Penn State,Christian Berger,5,Defensemen,Defensemen,Sr,6-0,182,5/22/2000,"St. Louis, Mo.",Defensemen,Defensemen,72,,,,Omaha,USHL
Penn State,Jarod Crespo,24,Defensemen,Defensemen,So,6-0,190,4/30/2002,"Easthampton Township, N.J.",Defensemen,Defensemen,72,,,,Green Bay,USHL
Penn State,Jimmy  Jr. Dowd,6,Defensemen,Defensemen,Sr,5-9,165,7/19/2000,"Pt. Pleasant, N.J.",Defensemen,Defensemen,69,,,,Chicago,USHL
Penn State,Dylan Gratton,25,Defensemen,Defensemen,So,6-0,180,2/25/2003,"Pottstown, Pa.",Defensemen,Defensemen,72,,,,Sioux City,USHL
Penn State,Simon Mack,4,Defensemen,Defensemen,Jr,5-10,180,3/29/2001,"Brockville, Ont.",Defensemen,Defensemen,70,,,,Des Moines,USHL
Penn State,Tanner Palocsik,22,Defensemen,Defensemen,Gr,5-11,190,5/26/1999,"Aliquippa, Pa.",Defensemen,Defensemen,71,,,,Dartmouth,ECAC
Penn State,Carter Schade,2,Defensemen,Defensemen,So,5-11,185,3/7/2003,"Mars, Pa.",Defensemen,Defensemen,71,,,,Lincoln,USHL
Penn State,Jacques Bouquot,27,Forwards,Forwards,Gr,6-1,185,2/10/2000,"South Windsor, Conn.",Forwards,Forwards,73,,,,Vermont,HEA
Penn State,Matt DiMarsico,14,Forwards,Forwards,Fr,6-0,180,1/7/2004,"Wexford, Pa.",Forwards,Forwards,72,,,,Green Bay,USHL
Penn State,Dane Dowiak,19,Forwards,Forwards,Fr,5-10,180,3/27/2002,"Wexford, Pa.",Forwards,Forwards,70,,,,Tri-City,USHL
Penn State,Carson Dyck,7,Forwards,Forwards,Jr,6-0,180,6/7/2001,"Lethbridge, Alb.",Forwards,Forwards,72,,,,Okotoks,AJHL
Penn State,Danny Dzhaniyev,13,Forwards,Forwards,Jr,5-4,145,9/15/2002,"Brooklyn, N.Y.",Forwards,Forwards,64,,,,Dubuque,USHL
Penn State,Aiden Fink,18,Forwards,Forwards,Fr,5-10,160,11/24/2004,"Calgary, Alb.",Forwards,Forwards,70,2023,NSH,7,Brooks,AJHL
Penn State,Ryan Kirwan,11,Forwards,Forwards,Jr,6-2,195,2/27/2002,"DeWitt, N.Y.",Forwards,Forwards,74,,,,Green Bay,USHL
Penn State,Xander Lamppa,9,Forwards,Forwards,Sr,6-1,205,4/30/2000,"Rochester, Minn.",Forwards,Forwards,73,,,,Waterloo,USHL
Penn State,Reese Laubach,29,Forwards,Forwards,Fr,6-0,170,11/20/2003,"San Jose, Calif.",Forwards,Forwards,72,2022,SJS,7,Omaha,USHL
Penn State,Dylan Lugris,16,Forwards,Forwards,Jr,6-2,185,6/23/2001,"Tampa, Fla.",Forwards,Forwards,74,,,,Jersey,NCDC
Penn State,Chase McLane,17,Forwards,Forwards,Sr,6-2,185,4/22/2000,"Trenton, Mich.",Forwards,Forwards,74,2020,NSH,7,Tri-City,USHL
Penn State,Tyler Paquette,23,Forwards,Forwards,Sr,6-3,200,3/18/2001,"Collegeville, Pa.",Forwards,Forwards,75,,,,Green Bay,USHL
Penn State,Christian Sarlo,15,Forwards,Forwards,Sr,6-0,190,6/29/2001,"Lynbrook, N.J.",Forwards,Forwards,72,,,,Lincoln,USHL
Penn State,Ben Schoen,12,Forwards,Forwards,Jr,5-8,150,5/18/2002,"Toledo, Ohio",Forwards,Forwards,68,,,,Youngstown,USHL
Penn State,Alex Servagno,8,Forwards,Forwards,So,5-9,170,6/16/2002,"Gibsonia, Pa.",Forwards,Forwards,69,,,,Green Bay,USHL
Penn State,Doug Dorr,30,Goaltenders,Goaltenders,Sr,6-4,200,5/7/1999,"Pittsburgh, Pa.",Goaltenders,Goaltenders,76,,,,Youngstown,USHL
Penn State,Noah Grannan,33,Goaltenders,Goaltenders,So,6-2,190,4/27/2002,"Germantown, Wis.",Goaltenders,Goaltenders,74,,,,Sioux Falls,USHL
Penn State,Liam Souliere,31,Goaltenders,Goaltenders,Sr,5-11,180,3/16/1999,"Brampton, Ont.",Goaltenders,Goaltenders,71,,,,Victoria,BCHL
Lindenwood,Jack Anderson,18,Defensemen,Defensemen,So,6-6,225,11/14/2002,"St. Louis, Mo.",Defensemen,Defensemen,78,,,,El Paso,NAHL
Lindenwood,Kabore Dunn,28,Defensemen,Defensemen,So,6-2,180,11/10/2001,"Mill Bay, B.C.",Defensemen,Defensemen,74,,,,Maine,HEA
Lindenwood,Caleb Price,16,Defensemen,Defensemen,Jr,5-10,165,3/31/2000,"Hooksett, N.H.",Defensemen,Defensemen,70,,,,New Jersey,NAHL
Lindenwood,Joe Prouty,15,Defensemen,Defensemen,So,6-0,181,11/29/2001,"Apple Valley, Minn.",Defensemen,Defensemen,72,,,,New Mexico,NAHL
Lindenwood,Brenden Rons,22,Defensemen,Defensemen,Gr,6-5,220,3/3/1998,"Farmington Hills, Mich.",Defensemen,Defensemen,77,,,,Ferris State,CCHA
Lindenwood,Kieran Ruscheinski,3,Defensemen,Defensemen,So,6-6,209,3/5/2001,"Calgary, Alb.",Defensemen,Defensemen,78,,,,Salmon Arm,BCHL
Lindenwood,Cole Teleki,2,Defensemen,Defensemen,Fr,6-2,194,3/13/2002,"Dallas, Texas",Defensemen,Defensemen,74,,,,Oklahoma,NAHL
Lindenwood,Coltan Wilkie,14,Defensemen,Defensemen,So,5-8,181,4/3/2000,"Elkhorn, Neb.",Defensemen,Defensemen,68,,,,Okotoks,AJHL
Lindenwood,Aiden Yakimchuk,5,Defensemen,Defensemen,Jr,6-4,205,5/14/2000,"Montréal, Que.",Defensemen,Defensemen,76,,,,Drumheller,AJHL
Lindenwood,Mitch Allard,10,Forwards,Forwards,Jr,6-1,210,1/27/2000,"Shelby Township, Mich.",Forwards,Forwards,73,,,,Minnesota,NAHL
Lindenwood,Zachary Aughe,13,Forwards,Forwards,Sr,6-3,205,2/18/2000,"Clarkston, Mich.",Forwards,Forwards,75,,,,Maine,HEA
Lindenwood,Adam Conquest,24,Forwards,Forwards,Gr,6-0,190,5/10/2000,"Brighton, Mich.",Forwards,Forwards,72,,,,Bowling Green,CCHA
Lindenwood,Cade DeStefani,6,Forwards,Forwards,So,6-2,185,6/21/2001,"Bedford, N.H.",Forwards,Forwards,74,,,,Janesville,NAHL
Lindenwood,Austin Fraser,25,Forwards,Forwards,Fr,6-2,205,8/24/2003,"West Vancouver, B.C.",Forwards,Forwards,74,,,,Prince George,BCHL
Lindenwood,David Gagnon,27,Forwards,Forwards,Jr,6-0,181,4/19/2000,"Halifax, N.S.",Forwards,Forwards,72,,,,Truro,MJAHL
Lindenwood,Kyle Jeffers,8,Forwards,Forwards,Jr,5-10,165,1/6/1999,"Winter Springs, Fla.",Forwards,Forwards,70,,,,American Int'l,AHA
Lindenwood,Drew Kuzma,9,Forwards,Forwards,So,6-6,218,11/13/2002,"St. Albert, Alb.",Forwards,Forwards,78,,,,Flin Flon,SJHL
Lindenwood,Shane Lavelle,23,Forwards,Forwards,So,6-1,180,8/16/2001,"Chaska, Minn.",Forwards,Forwards,73,,,,Cowichan Valley,BCHL
Lindenwood,Jaeden Mercier,11,Forwards,Forwards,Fr,5-11,170,2/12/2002,"Saskatoon, Sask.",Forwards,Forwards,71,,,,Flin Flon,SJHL
Lindenwood,Patrick Schmiedlin,17,Forwards,Forwards,Fr,6-1,185,3/20/2002,"Culver, Ind.",Forwards,Forwards,73,,,,Maine,NAHL
Lindenwood,Jake Southgate,21,Forwards,Forwards,Fr,5-11,185,11/4/2002,"North Battleford, Sask.",Forwards,Forwards,71,,,,Battleford,SJHL
Lindenwood,Caige Sterzer,19,Forwards,Forwards,Jr,6-5,216,8/8/2000,"Kimberley, B.C.",Forwards,Forwards,77,,,,Lone Star,NAHL
Lindenwood,Ethan Zielke,12,Forwards,Forwards,Fr,5-10,180,8/3/2003,"Calgary, Alb.",Forwards,Forwards,70,,,,Humboldt,SJHL
Lindenwood,Trent Burnham,1,Goaltenders,Goaltenders,Jr,6-0,165,3/27/2000,"Eagle River, Alaska",Goaltenders,Goaltenders,72,,,,Sioux Falls,USHL
Lindenwood,Adam Johnson,30,Goaltenders,Goaltenders,Fr,6-3,185,10/15/2002,"Chicago, Ill.",Goaltenders,Goaltenders,75,,,,Johnstown,NAHL
Lindenwood,Matthew Syverson,31,Goaltenders,Goaltenders,Fr,6-4,185,4/22/2003,"Apple Valley, Minn.",Goaltenders,Goaltenders,76,,,,,
Bowling Green,Michael Bevilacqua,6,Defensemen,Defensemen,Fr,6-0,187,1/26/2003,"Hamburg, N.Y.",Defensemen,Defensemen,72,,,,Des Moines,USHL
Bowling Green,Jack Blake,26,Defensemen,Defensemen,So,6-1,189,9/21/2001,"Manhattan Beach, Calif.",Defensemen,Defensemen,73,,,,Oakville,OJHL
Bowling Green,Breck McKinley,27,Defensemen,Defensemen,Fr,5-9,175,10/8/2003,"St. Albert, Alb.",Defensemen,Defensemen,69,,,,Spruce Grove,AJHL
Bowling Green,Dalton Norris,14,Defensemen,Defensemen,So,5-10,185,9/28/2001,"Oxford, Mich.",Defensemen,Defensemen,70,,,,Lincoln,USHL
Bowling Green,Nick O'Hanisain,4,Defensemen,Defensemen,Fr,5-11,181,2/9/2002,"Detroit, Mich.",Defensemen,Defensemen,71,,,,Minot,NAHL
Bowling Green,Eric Parker,24,Defensemen,Defensemen,Jr,6-2,174,1/15/2001,"Calgary, Alb.",Defensemen,Defensemen,74,,,,Okotoks,AJHL
Bowling Green,Tommy Pasanen,25,Defensemen,Defensemen,Sr,6-5,218,7/30/2001,"Schweinfurt, Germany",Defensemen,Defensemen,77,,,,Clarkson,ECAC
Bowling Green,Gustav Stjernberg,5,Defensemen,Defensemen,Fr,6-4,208,10/12/2002,"Enebyberg, Sweden",Defensemen,Defensemen,76,,,,Des Moines,USHL
Bowling Green,Ben Wozney,2,Defensemen,Defensemen,Jr,6-2,194,6/15/2001,"Richmond, B.C.",Defensemen,Defensemen,74,,,,Penticton,BCHL
Bowling Green,Ben Doran,23,Forwards,Forwards,Fr,5-11,177,2/27/2003,"Chesterfield, Mo.",Forwards,Forwards,71,,,,Sioux City,USHL
Bowling Green,Quinn Emerson,18,Forwards,Forwards,So,5-11,185,3/12/2001,"Manhattan Beach, Calif.",Forwards,Forwards,71,,,,Wenatchee,BCHL
Bowling Green,Seth Fyten,21,Forwards,Forwards,Sr,6-2,200,11/23/2000,"Didsbury, Alb.",Forwards,Forwards,74,,,,Spruce Grove,AJHL
Bowling Green,Jaden Grant,28,Forwards,Forwards,So,6-2,187,9/2/2002,"White Lake, Mich.",Forwards,Forwards,74,,,,Youngstown,USHL
Bowling Green,Spencer Kersten,15,Forwards,Forwards,Gr,5-10,185,5/16/2000,"Waterloo, Ont.",Forwards,Forwards,70,,,,Princeton,ECAC
Bowling Green,Brayden Krieger,16,Forwards,Forwards,Jr,6-0,180,2/9/2001,"Elora, Ont.",Forwards,Forwards,72,,,,Brooks,AJHL
Bowling Green,Josh Nodler,10,Forwards,Forwards,Gr,5-11,203,4/27/2001,"Oak Park, Mich.",Forwards,Forwards,71,2019,CGY,5,Massachusetts,HEA
Bowling Green,Ryan O'Hara,20,Forwards,Forwards,Jr,5-10,184,7/18/2001,"Oakville, Ont.",Forwards,Forwards,70,,,,Waterloo,USHL
Bowling Green,Owen Ozar,22,Forwards,Forwards,Jr,5-8,163,4/5/2000,"Prince Albert, Sask.",Forwards,Forwards,68,,,,Denver,NCHC
Bowling Green,Brett Pfoh,13,Forwards,Forwards,So,5-11,186,1/22/2002,"Port Moody, B.C.",Forwards,Forwards,71,,,,Spruce Grove,AJHL
Bowling Green,Brandon Santa Juana,8,Forwards,Forwards,Fr,5-8,173,8/5/2002,"Langley, B.C.",Forwards,Forwards,68,,,,Salmon Arm,BCHL
Bowling Green,Ethan Scardina,17,Forwards,Forwards,Sr,6-0,202,11/2/2000,"South Surrey, B.C.",Forwards,Forwards,72,,,,Nanaimo,BCHL
Bowling Green,Spencer Schneider,7,Forwards,Forwards,Jr,5-11,159,9/11/2000,"Lakeville, Minn.",Forwards,Forwards,71,,,,Aberdeen,NAHL
Bowling Green,Brody Waters,29,Forwards,Forwards,Fr,6-2,203,4/9/2002,"Heidelberg, Ont.",Forwards,Forwards,74,,,,Nanaimo,BCHL
Bowling Green,Pete Eigner,31,Goaltenders,Goaltenders,Jr,6-1,190,5/4/2002,"Bowling Green, Ohio",Goaltenders,Goaltenders,73,,,,Tri-State,Midget AAA
Bowling Green,Salvatore Evola,35,Goaltenders,Goaltenders,So,5-11,178,4/24/2001,"Rochester, Mich.",Goaltenders,Goaltenders,71,,,,Johnstown,NAHL
Bowling Green,Cole Moore,34,Goaltenders,Goaltenders,Fr,6-6,198,6/4/2003,"Toronto, Ont.",Goaltenders,Goaltenders,78,,,,Aberdeen,NAHL
Bowling Green,Christian Stoever,30,Goaltenders,Goaltenders,Jr,6-2,190,4/16/2000,"Northville, Mich.",Goaltenders,Goaltenders,74,,,,New Jersey,NAHL
Boston University,Aiden Celebrini,22,Defensemen,Defensemen,Fr,6-1,195,10/26/2004,"Vancouver, B.C.",Defensemen,Defensemen,73,2023,VAN,6,Brooks,AJHL
Boston University,Mick Frechette,14,Defensemen,Defensemen,Fr,6-2,200,10/27/2003,"Weston, Mass.",Defensemen,Defensemen,74,,,,Dexter Southfield,
Boston University,Ty Gallagher,4,Defensemen,Defensemen,Jr,6-0,190,3/6/2003,"Clarkston, Mich.",Defensemen,Defensemen,72,2021,BOS,7,USA U-18 Team,NTDP
Boston University,Lane Hutson,20,Defensemen,Defensemen,So,5-10,162,2/14/2004,"Chicago, Ill.",Defensemen,Defensemen,70,2022,MTL,2,USA U-18 Team,NTDP
Boston University,Thomas Jarman,28,Defensemen,Defensemen,Sr,6-3,200,4/9/2001,"Gibsonia, Pa.",Defensemen,Defensemen,75,,,,Maryland,NAHL
Boston University,Case McCarthy,7,Defensemen,Defensemen,Gr,6-1,200,1/9/2001,"Clarence Center, N.Y.",Defensemen,Defensemen,73,2019,NJD,4,USA U-18 Team,NTDP
Boston University,Gavin McCarthy,2,Defensemen,Defensemen,Fr,6-2,188,6/2/2005,"Clarence Center, N.Y.",Defensemen,Defensemen,74,2023,BUF,3,Muskegon,USHL
Boston University,Jack Page,19,Defensemen,Defensemen,Jr,6-4,197,11/27/2001,"West Chester, Pa.",Defensemen,Defensemen,76,,,,New Jersey,NCDC
Boston University,Cade Webber,8,Defensemen,Defensemen,Sr,6-7,216,1/5/2001,"Meadville, Pa.",Defensemen,Defensemen,79,2019,CAR,4,Penticton,BCHL
Boston University,Tom Willander,5,Defensemen,Defensemen,Fr,6-1,191,2/9/2005,"Stockholm, Sweden",Defensemen,Defensemen,73,2023,VAN,1,Rögle BK,J20 Nationell
Boston University,Tristan Amonte,3,Forwards,Forwards,Jr,6-0,178,2/1/2000,"Norwell, Mass.",Forwards,Forwards,72,,,,Penticton Vees,BCHL
Boston University,Macklin Celebrini,71,Forwards,Forwards,Fr,6-0,190,6/13/2006,"Vancouver, B.C.",Forwards,Forwards,72,,,,Chicago,USHL
Boston University,Jack Gorton,26,Forwards,Forwards,Fr,6-3,196,2/13/2002,"Granite Springs, N.Y.",Forwards,Forwards,75,,,,Victoria,BCHL
Boston University,Ryan Greene,9,Forwards,Forwards,So,6-1,185,10/21/2003,"Paradise, Newf.",Forwards,Forwards,73,2022,CHI,2,Green Bay ,USHL
Boston University,Doug Grimes,23,Forwards,Forwards,Fr,6-3,205,4/18/2002,"Brookline, Mass.",Forwards,Forwards,75,,,,Lincoln,USHL
Boston University,Jack Harvey,12,Forwards,Forwards,Fr,5-10,173,3/31/2003,"Stacy, Minn.",Forwards,Forwards,70,2023,TBL,7,Chicago,USHL
Boston University,Jack Hughes,27,Forwards,Forwards,Jr,6-0,169,11/2/2003,"Westwood, Mass.",Forwards,Forwards,72,2022,LAK,2,Northeastern,HEA
Boston University,Quinn Hutson,17,Forwards,Forwards,So,5-11,176,1/1/2002,"Chicago, Ill.",Forwards,Forwards,71,,,,Muskegon,USHL
Boston University,Devin Kaplan,21,Forwards,Forwards,So,6-3,200,1/10/2004,"Bridgewater, N.J.",Forwards,Forwards,75,2022,PHI,3,USA U-18 Team,NTDP
Boston University,Shane Lachance,18,Forwards,Forwards,Fr,6-5,218,8/30/2003,"Andover, Mass.",Forwards,Forwards,77,,,,Youngstown,USHL
Boston University,Dylan Peterson,13,Forwards,Forwards,Sr,6-4,203,1/8/2002,"Roseville, Calif.",Forwards,Forwards,76,2020,STL,3,USA U-18 Team,NTDP
Boston University,Sam Stevens,25,Forwards,Forwards,Gr,6-1,190,4/27/2000,"Montréal, Que.",Forwards,Forwards,73,,,,Sioux Falls,USHL
Boston University,Luke Tuch,11,Forwards,Forwards,Sr,6-2,215,3/7/2002,"Baldwinsville, N.Y.",Forwards,Forwards,74,2020,MTL,2,USA U-18 Team,NTDP
Boston University,Jeremy Wilmer,16,Forwards,Forwards,So,5-8,158,8/16/2003,"Rockville Centre, N.Y.",Forwards,Forwards,68,,,,Tri-City,USHL
Boston University,Nick Zabaneh,10,Forwards,Forwards,Sr,5-10,182,3/27/2001,"Toronto, Ont.",Forwards,Forwards,70,,,,Green Bay,USHL
Boston University,Mathieu Caron,62,Goaltenders,Goaltenders,Sr,6-0,195,3/29/2000,"Abbotsford, B.C.",Goaltenders,Goaltenders,72,,,,Brown,ECAC
Boston University,Henry Graham,30,Goaltenders,Goaltenders,Gr,6-0,189,7/25/2000,"Manhattan, N.Y.",Goaltenders,Goaltenders,72,,,,Massachusetts,HEA
Boston University,Nick Howard,29,Goaltenders,Goaltenders,Gr,6-0,207,2/1/1998,"Burlington, Mass.",Goaltenders,Goaltenders,72,,,,Saint Anselm,
Boston University,Max Lacroix,0,Goaltenders,Goaltenders,Fr,6-0,170,12/13/2003,"Castle Pines, Colo.",Goaltenders,Goaltenders,72,,,,,
Miami,Jack Clement,5,Defensemen,Defensemen,Gr,6-4,200,6/9/1999,"Detroit, Mich.",Defensemen,Defensemen,76,,,,Des Moines,USHL
Miami,Spencer Cox,2,Defensemen,Defensemen,Jr,6-0,185,2/7/2001,"West Chester, Pa.",Defensemen,Defensemen,72,,,,Long Island,DI Independent
Miami,Zane Demsey,10,Defensemen,Defensemen,So,6-2,190,11/4/2001,"Harrison Township, Mich.",Defensemen,Defensemen,74,,,,Dubuque,USHL
Miami,Robby Drazner,7,Defensemen,Defensemen,Sr,6-1,195,2/13/2000,"Buffalo Grove, Ill.",Defensemen,Defensemen,73,,,,Nanaimo,BCHL
Miami,Michael Feenstra,4,Defensemen,Defensemen,So,6-3,195,4/3/2001,"Grand Haven, Mich.",Defensemen,Defensemen,75,,,,Dubuque,USHL
Miami,Axel Kumlin,3,Defensemen,Defensemen,So,6-1,195,2/23/2002,"Stockholm, Sweden",Defensemen,Defensemen,73,,,,Dubuque,USHL
Miami,Dylan Moulton,27,Defensemen,Defensemen,Sr,6-2,207,4/24/2001,"Nolensville, Tenn.",Defensemen,Defensemen,74,,,,Green Bay,USHL
Miami,Hampus Rydqvist,16,Defensemen,Defensemen,Sr,5-10,185,3/12/1999,"Göteborg, Sweden",Defensemen,Defensemen,70,,,,Maryland,NAHL
Miami,Rihards Simanovičs,19,Defensemen,Defensemen,Fr,6-3,205,10/7/2003,"Riga, Latvia",Defensemen,Defensemen,75,,,,Amarillo,NAHL
Miami,Tanyon Bajzer,28,Forwards,Forwards,Fr,6-1,180,8/25/2002,"Cleveland, Ohio",Forwards,Forwards,73,,,,Odessa,NAHL
Miami,Matthew Barbolini,29,Forwards,Forwards,Sr,6-2,205,6/1/2000,"Williamsville, N.Y.",Forwards,Forwards,74,,,,Lincoln,USHL
Miami,Frankie Carogioiello,18,Forwards,Forwards,So,5-10,173,6/21/2002,"Woodbridge, Ont.",Forwards,Forwards,70,,,,Chilliwack,BCHL
Miami,Thomas Daskas,14,Forwards,Forwards,Sr,6-2,200,9/3/1999,"Rochester, Minn.",Forwards,Forwards,74,,,,Air Force,AHA
Miami,Max Dukovac,13,Forwards,Forwards,So,6-2,182,2/19/2002,"Aurora, Ill.",Forwards,Forwards,74,,,,Langley,BCHL
Miami,PJ Fletcher,8,Forwards,Forwards,Sr,6-2,185,7/12/2001,"Dana Point, Calif.",Forwards,Forwards,74,,,,Quinnipiac,ECAC
Miami,William Hallén,11,Forwards,Forwards,So,6-1,187,4/15/2002,"Göteborg, Sweden",Forwards,Forwards,73,,,,Dubuque,USHL
Miami,Teddy Lagerbäck,34,Forwards,Forwards,Jr,6-1,190,8/21/2001,"Chanhassen, Minn.",Forwards,Forwards,73,,,,Arizona State,DI Independent
